,Country,City,Latitude,temp_min,temp_max,humid,wind_speed,cloud,found_city,url
61107,af,qal`ah-ye sang-e takht,34.259067,18.7,18.7,76,2.04,64,qal`ah-ye sang-e takht,"http://api.openweathermap.org/data/2.5/weather?q=qal`ah-ye sang-e takht,af&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
86964,af,wurjani,32.428812,25.77,25.77,74,2.04,0,wurjani,"http://api.openweathermap.org/data/2.5/weather?q=wurjani,af&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
127447,ar,aguada grande,-47.389004,85.98,85.98,61,4.38,24,aguada grande,"http://api.openweathermap.org/data/2.5/weather?q=aguada grande,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
127650,ar,alto rio senguer,-45.041049,50.43,50.43,40,26.75,0,alto rio senguer,"http://api.openweathermap.org/data/2.5/weather?q=alto rio senguer,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
127772,ar,antonio pini,-29.075481,95.16,95.16,66,8.41,0,antonio pini,"http://api.openweathermap.org/data/2.5/weather?q=antonio pini,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
128079,ar,barrio almirante brown,-54.816667,80.08,80.08,83,3.09,36,barrio almirante brown,"http://api.openweathermap.org/data/2.5/weather?q=barrio almirante brown,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
128383,ar,caleta olivia,-46.439291,55.51,55.51,53,12.15,76,caleta olivia,"http://api.openweathermap.org/data/2.5/weather?q=caleta olivia,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
128688,ar,cauchicol,-53.88106,53.6,53.6,46,23.04,40,cauchicol,"http://api.openweathermap.org/data/2.5/weather?q=cauchicol,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
129273,ar,comandante luis piedra buena,-49.985133000000005,56.73,56.73,23,21.43,32,comandante luis piedra buena,"http://api.openweathermap.org/data/2.5/weather?q=comandante luis piedra buena,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
129678,ar,durazno,-28.6,94.48,94.48,56,4.32,0,durazno,"http://api.openweathermap.org/data/2.5/weather?q=durazno,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
130092,ar,el trebol,-45.816666999999995,91.83,91.83,77,4.54,0,el trebol,"http://api.openweathermap.org/data/2.5/weather?q=el trebol,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
130099,ar,el turbio,-51.681371999999996,48.2,48.2,59,25.28,75,el turbio,"http://api.openweathermap.org/data/2.5/weather?q=el turbio,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
130327,ar,estanislao del campo,-25.055038,91.96,91.96,74,6.89,0,estanislao del campo,"http://api.openweathermap.org/data/2.5/weather?q=estanislao del campo,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
130634,ar,general jose de san martin,-47.445207,90.25,90.25,80,6.78,12,general jose de san martin,"http://api.openweathermap.org/data/2.5/weather?q=general jose de san martin,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
131330,ar,kaiken,-54.533333,46.38,46.38,49,15.79,48,kaiken,"http://api.openweathermap.org/data/2.5/weather?q=kaiken,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
131386,ar,la bajada,-48.883333,78.87,78.87,99,3.76,44,la bajada,"http://api.openweathermap.org/data/2.5/weather?q=la bajada,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
131551,ar,lago argentino,-50.336979,48.99,48.99,39,20.87,36,lago argentino,"http://api.openweathermap.org/data/2.5/weather?q=lago argentino,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
131983,ar,las pulgas,-45.460978999999995,52.41,52.41,30,20.54,88,las pulgas,"http://api.openweathermap.org/data/2.5/weather?q=las pulgas,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
132382,ar,los sauces,-30.736628999999997,66.81,66.81,28,21.54,92,los sauces,"http://api.openweathermap.org/data/2.5/weather?q=los sauces,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
132653,ar,mayor drummond,-33.024611,87.8,87.8,33,5.82,40,mayor drummond,"http://api.openweathermap.org/data/2.5/weather?q=mayor drummond,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
132772,ar,miranda,-53.681054,70.32,70.32,76,3.38,8,miranda,"http://api.openweathermap.org/data/2.5/weather?q=miranda,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
133327,ar,parish,-36.518335,89.53,89.53,54,11.25,20,parish,"http://api.openweathermap.org/data/2.5/weather?q=parish,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
133501,ar,piedra buena,-49.985133000000005,80.8,80.8,24,7,0,piedra buena,"http://api.openweathermap.org/data/2.5/weather?q=piedra buena,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
133592,ar,pocho,-31.490057,88,88,50,3.6,24,pocho,"http://api.openweathermap.org/data/2.5/weather?q=pocho,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
133833,ar,puerto deseado,-47.750336,51.33,51.33,58,9.75,64,puerto deseado,"http://api.openweathermap.org/data/2.5/weather?q=puerto deseado,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
133910,ar,puerto remolino,-54.86666700000001,46.4,46.4,61,27.51,75,puerto remolino,"http://api.openweathermap.org/data/2.5/weather?q=puerto remolino,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
133926,ar,puerto santa cruz,-50.019104,55.56,55.56,30,20.6,76,puerto santa cruz,"http://api.openweathermap.org/data/2.5/weather?q=puerto santa cruz,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
134057,ar,rada tilly,-45.933333000000005,64.4,64.4,27,17.22,75,rada tilly,"http://api.openweathermap.org/data/2.5/weather?q=rada tilly,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
134219,ar,rio gallegos,-51.622613,53.6,53.6,27,26.4,75,rio gallegos,"http://api.openweathermap.org/data/2.5/weather?q=rio gallegos,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
134713,ar,san pablo,-54.333332999999996,87.8,87.8,55,11.41,40,san pablo,"http://api.openweathermap.org/data/2.5/weather?q=san pablo,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
134792,ar,santa cruz,-50.019104,48.2,48.2,59,25.28,75,santa cruz,"http://api.openweathermap.org/data/2.5/weather?q=santa cruz,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
134930,ar,sarmiento,-54.35,55.6,55.6,53,24.11,80,sarmiento,"http://api.openweathermap.org/data/2.5/weather?q=sarmiento,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
135186,ar,talleres,-45.816666999999995,93.2,93.2,49,9.17,20,talleres,"http://api.openweathermap.org/data/2.5/weather?q=talleres,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
135390,ar,tres cerros,-48.216667,91.78,91.78,58,5.55,20,tres cerros,"http://api.openweathermap.org/data/2.5/weather?q=tres cerros,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
135508,ar,ushuaia,-54.8,46.4,46.4,61,27.51,75,ushuaia,"http://api.openweathermap.org/data/2.5/weather?q=ushuaia,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
135534,ar,valle,-45.8,64.4,64.4,27,17.22,75,valle,"http://api.openweathermap.org/data/2.5/weather?q=valle,ar&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
138735,at,fussach,47.483056,41,41,100,3.36,90,fussach,"http://api.openweathermap.org/data/2.5/weather?q=fussach,at&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
141666,at,kleinsteinbach,47.133333,33.8,33.8,77,1.12,40,kleinsteinbach,"http://api.openweathermap.org/data/2.5/weather?q=kleinsteinbach,at&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
142711,at,litschgraben,48.5,42.8,42.8,87,11.41,24,litschgraben,"http://api.openweathermap.org/data/2.5/weather?q=litschgraben,at&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
144648,at,oberrohrbach,46.983333,42.8,44.6,81,12.75,75,oberrohrbach,"http://api.openweathermap.org/data/2.5/weather?q=oberrohrbach,at&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
144894,at,oftering,48.233333,41,41,100,8.05,75,oftering,"http://api.openweathermap.org/data/2.5/weather?q=oftering,at&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
149462,at,unterviehbach,48.35,41,41,100,8.05,75,unterviehbach,"http://api.openweathermap.org/data/2.5/weather?q=unterviehbach,at&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
150720,at,zelking,48.183333000000005,42.8,42.8,87,11.41,92,zelking,"http://api.openweathermap.org/data/2.5/weather?q=zelking,at&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
153702,au,dimbulah,-17.14752,66.76,66.76,98,4.09,68,dimbulah,"http://api.openweathermap.org/data/2.5/weather?q=dimbulah,au&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
154749,au,goondah,-34.733333,57.58,57.58,96,4.21,0,goondah,"http://api.openweathermap.org/data/2.5/weather?q=goondah,au&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
155459,au,isabella,-33.95,52.63,52.63,97,3.31,8,isabella,"http://api.openweathermap.org/data/2.5/weather?q=isabella,au&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
158554,au,pelverata,-47.05,57.2,57.2,62,8.05,40,pelverata,"http://api.openweathermap.org/data/2.5/weather?q=pelverata,au&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
158927,au,quinburra,-37.133333,55.33,55.33,70,3.09,0,quinburra,"http://api.openweathermap.org/data/2.5/weather?q=quinburra,au&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
159874,au,tabulam,-28.9,64.96,64.96,99,1.81,92,tabulam,"http://api.openweathermap.org/data/2.5/weather?q=tabulam,au&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
160058,au,temora municipality,-34.433333000000005,60.73,60.73,67,5.84,0,temora municipality,"http://api.openweathermap.org/data/2.5/weather?q=temora municipality,au&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
160858,au,warburton,-26.1346,59,59,93,6.93,20,warburton,"http://api.openweathermap.org/data/2.5/weather?q=warburton,au&APPID=2e0b3995de13957a2e62c46a5a3da34b&units=imperial"
